 Hz,A
        823.00000000,           .31519102
        824.00000000,           .31480877
        825.00000000,           .31442744
        826.00000000,           .31404704
        827.00000000,           .31366756
        828.00000000,           .31328899
        829.00000000,           .31291134
        830.00000000,           .31253459
        831.00000000,           .31215875
        832.00000000,           .31178381
        833.00000000,           .31140978
        834.00000000,           .31103663
        835.00000000,           .31066439
        836.00000000,           .31029303
        837.00000000,           .30992255
        838.00000000,           .30955296
        839.00000000,           .30918425
        840.00000000,           .30881642
        841.00000000,           .30844946
        842.00000000,           .30808337
        843.00000000,           .30771815
        844.00000000,           .30735380
        845.00000000,           .30699030
        846.00000000,           .30662767
        847.00000000,           .30626589
        848.00000000,           .30590496
        849.00000000,           .30554488
        850.00000000,           .30518565
        851.00000000,           .30482726
        852.00000000,           .30446971
        853.00000000,           .30411300
        854.00000000,           .30375713
        855.00000000,           .30340208
        856.00000000,           .30304787
        857.00000000,           .30269448
        858.00000000,           .30234191
        859.00000000,           .30199017
        860.00000000,           .30163924
        861.00000000,           .30128912
        862.00000000,           .30093982
        863.00000000,           .30059132
        864.00000000,           .30024363
        865.00000000,           .29989675
        866.00000000,           .29955066
        867.00000000,           .29920538
        868.00000000,           .29886088
        869.00000000,           .29851718
        870.00000000,           .29817427
        871.00000000,           .29783215
        872.00000000,           .29749081
        873.00000000,           .29715025
        874.00000000,           .29681047
        875.00000000,           .29647146
        876.00000000,           .29613323
        877.00000000,           .29579577
        878.00000000,           .29545908
        879.00000000,           .29512315
        880.00000000,           .29478798
        881.00000000,           .29445358
        882.00000000,           .29411993
        883.00000000,           .29378704
        884.00000000,           .29345490
        885.00000000,           .29312351
        886.00000000,           .29279287
        887.00000000,           .29246297
        888.00000000,           .29213382
        889.00000000,           .29180540
        890.00000000,           .29147772
        891.00000000,           .29115078
        892.00000000,           .29082457
        893.00000000,           .29049909
        894.00000000,           .29017434
        895.00000000,           .28985031
        896.00000000,           .28952700
        897.00000000,           .28920442
        898.00000000,           .28888255
        899.00000000,           .28856140
        900.00000000,           .28824096
        901.00000000,           .28792123
        902.00000000,           .28760221
        903.00000000,           .28728390
        904.00000000,           .28696629
        905.00000000,           .28664938
        906.00000000,           .28633317
        907.00000000,           .28601766
        908.00000000,           .28570284
        909.00000000,           .28538871
        910.00000000,           .28507528
        911.00000000,           .28476253
        912.00000000,           .28445046
        913.00000000,           .28413908
        914.00000000,           .28382838
        915.00000000,           .28351836
        916.00000000,           .28320901
        917.00000000,           .28290034
        918.00000000,           .28259234
        919.00000000,           .28228501
        920.00000000,           .28197835
        921.00000000,           .28167236
        922.00000000,           .28136702
        923.00000000,           .28106235
        924.00000000,           .28075834
        925.00000000,           .28045498
        926.00000000,           .28015228
        927.00000000,           .27985023
        928.00000000,           .27954883
        929.00000000,           .27924808
        930.00000000,           .27894797
        931.00000000,           .27864851
        932.00000000,           .27834970
        933.00000000,           .27805152
        934.00000000,           .27775398
        935.00000000,           .27745707
        936.00000000,           .27716080
        937.00000000,           .27686517
        938.00000000,           .27657016
        939.00000000,           .27627578
        940.00000000,           .27598202
        941.00000000,           .27568889
        942.00000000,           .27539638
        943.00000000,           .27510449
        944.00000000,           .27481322
        945.00000000,           .27452256
        946.00000000,           .27423252
        947.00000000,           .27394309
        948.00000000,           .27365428
        949.00000000,           .27336606
        950.00000000,           .27307846
        951.00000000,           .27279146
        952.00000000,           .27250506
        953.00000000,           .27221926
        954.00000000,           .27193407
        955.00000000,           .27164946
        956.00000000,           .27136546
        957.00000000,           .27108204
        958.00000000,           .27079922
        959.00000000,           .27051699
        960.00000000,           .27023534
        961.00000000,           .26995428
        962.00000000,           .26967381
        963.00000000,           .26939391
        964.00000000,           .26911460
